ACCOUNT_ID,SUBJECT_LINE,SENT_COUNT,DELIVERED_COUNT,OPENED_COUNT,UNIQUE_OPENED_COUNT,UNIQUE_BOUNCE_COUNT,Open Rate,char length of subject line
123,Starting at $69.95: boots made for the winter.,933393,932393,213678,167108,1000,17.92%,46
123,Starting at $99.95: European luxury brands.,64041,63041,11659,9331,1000,14.80%,43
123,Starting at just $40?!,1141491,1140491,220508,176820,1000,15.50%,22
123,Starting now: 30 days of 2X points + spring standouts.,13411110,13410110,2811589,1992062,1000,14.85%,54
123,Starting now: FREE GIFT online only!,7346940,7345940,1374694,1059453,1000,14.42%,36
123,Starting now: Up to 65% off CLEARANCE.,8075463,8074463,1529654,1153711,1000,14.29%,38
123,Starting today: Get $20 just for shopping!,103011,102011,20931,16147,1000,15.83%,42
123,Starts NOW: $20 off our boot shop.,79989,78989,23195,13752,1000,17.41%,34
123,Starts NOW: $20 off the absolute perfect boots.,542891,541891,186261,100969,1000,18.63%,47
123,Starts NOW: Take 20% off sandals.,629216,628216,100270,78374,1000,12.48%,33
123,Starts now: FREE yoga bag!,1197069,1196069,163366,139443,1000,11.66%,26
123,Starts tomorrow! Buy sandals = Get $20.,889550,888550,197849,153630,1000,17.29%,39
123,Starts tomorrow! Get new sandals (and $20).,7010929,7009929,1579461,1183317,1000,16.88%,43
123,Starts tomorrow: Redeem your $20 bonus card!,16118,15118,28738,8050,1000,53.25%,44
123,Stealth mode: On.,974705,973705,160194,136294,1000,14.00%,17
123,Step 1: buy boots. Step 2: get $20.,1152174,1151174,160939,137535,1000,11.95%,35
123,Step bright up.,638089,637089,107603,89262,1000,14.01%,15
123,Still 25% off. Still so cool.,2372259,2371259,170927,137961,1000,5.82%,29
123,Still on: 15% off alllll the good stuff.,1051204,1050204,167937,132307,1000,12.60%,40
123,Still on: 25% off.,3141487,3140487,522030,397518,1000,12.66%,18
123,Stock up alert: Mix No. 6 sandals at $14.95!,6251940,6250940,1370146,1051092,1000,16.81%,44
123,Stores are closed tomorrow. (Because family and   community come first.),8243652,8242652,1941234,1492218,1000,18.10%,72
123,Straps and   ties: Nice. (And just a bit knotty.),820204,819204,201559,156660,1000,19.12%,49
123,Street style done right (for the whole fam).,59893,58893,11869,9851,1000,16.73%,44
123,Street style done right.,334278,333278,80275,65291,1000,19.59%,24
123,Strings attached: flirty lace-ups from $39.95.,3356218,3355218,631710,499958,1000,14.90%,46
123,Style inspo direct from Fashion Week.,160186,159186,23181,19356,1000,12.16%,37
123,Style inspo for game day and   more.,444400,443400,55326,49182,1000,11.09%,36
123,Style tip: match your socks to your shoes.,1020198,1019198,157755,136838,1000,13.43%,42
123,Styles for every holiday emergency.,389812,388812,41157,36630,1000,9.42%,35
123,Subject line goes here,607520,606520,102212,66693,1000,11.00%,22
123,Such great heights.,645865,644865,94089,81167,1000,12.59%,19
123,Summer = bright colors and   bold prints.,7631129,7630129,1257847,1032851,1000,13.54%,41
123,Summer essentials inside,97731,96731,17018,14072,1000,14.55%,24
123,Summer heels of all heights.,2401941,2400941,103383,87143,1000,3.63%,28
123,Summer in a suitcase.,3652837,3651837,563656,470971,1000,12.90%,21
123,Summer is coming. You ready?,846479,845479,148378,120095,1000,14.20%,28
123,Summer sandals for (way) less.,1141690,1140690,223834,178179,1000,15.62%,30
123,Summer staples (under $40).,7098076,7097076,1424397,1118713,1000,15.76%,27
123,Summer travel plans?,2312714,2311714,356054,296989,1000,12.85%,20
123,Summer/fall/whatever this is.,6658456,6657456,860012,747354,1000,11.23%,29
123,Summery new sandals (under $50!).,7139254,7138254,1261523,1011792,1000,14.17%,33
123,Sun. Tan. (aka your summer palette),6094725,6093725,1259447,964827,1000,15.83%,35
123,Sunday Spotlight: $10 off.,3527798,3526798,962028,736850,1000,20.89%,26
123,Sunday Spotlight: 20% OFF ends tomorrow!,6786406,6785406,1205098,945661,1000,13.94%,40
123,Sunday Spotlight: 20% off all the things.,7315175,7314175,1260241,996496,1000,13.62%,41
123,Sunday Spotlight: 30% off boots and   booties.,6850438,6849438,1195887,961593,1000,14.04%,46
123,Sunday Spotlight: Athleisure under $60.,451888,450888,47663,39608,1000,8.78%,39
123,Sunday Spotlight: Final hours to save $10!,611160,610160,69199,56700,1000,9.29%,42
123,Sunday Spotlight: Free shipping on anything!,1480347,1479347,322398,259078,1000,17.51%,44
123,Sunday Spotlight: Get $10 for next time you shop!,3255818,3254818,942413,692891,1000,21.29%,49
123,Sunday Spotlight: Get $10 off NOW.,7032717,7031717,1494093,1150142,1000,16.36%,34
123,Sunday Spotlight: HOURS LEFT to get $20!,3652729,3651729,787266,639528,1000,17.51%,40
123,Sunday Spotlight: Hours left to save $10!,4824334,4823334,485541,400404,1000,8.30%,41
123,Sunday Spotlight: Our latest and   greatest.,32382,31382,5668,4686,1000,14.93%,44
123,Sunday Spotlight: Shop the featured exclusive.,686517,685517,120628,98826,1000,14.42%,46
123,Sunday Spotlight: Sneakers with ALL the newest tech.,298332,297332,54940,44601,1000,15.00%,52
123,Sunday Spotlight: Styles $20 and   up!,7088813,7087813,1348741,1104561,1000,15.58%,38
123,Sunday Spotlight: The BOOT and   BAG event!,6718243,6717243,1222328,1005515,1000,14.97%,43
123,Sunday Spotlight: These boots are killer.,66783,65783,7911,6454,1000,9.81%,41
